description,category
Hi This is Dheeraj,ignore
Dheeraj joining in,ignore
Dheeraj here,ignore
Let\'s wait for David and Sarma to join,ignore
Let\'s get started in couple of min,ignore
Your voice is not clear,ignore
Can you join back again,ignore
Can you mute your call,ignore
Can everyone go on mute while not speaking,ignore
Ok  5 min in the call   let\'s get started,ignore
share your screen,ignore
You need to speed up the work,decision
Let\'s discuss about the issues,action point
Have you been able to complete the presentation,decision
Can you update the project plan,action point
Can you give me the status of work assigned to you Ravi,action point
I think we should convert this meeting to bi-weekly,decision
Let\'s go for outing,decision
Let\'s take it offline,decision
I think we are deviating from the agenda,key point
What is the agenda for today\'s call,ignore
Let\'s not bother about that,decision
Can you open the Issue log,action point
In the last meeting we discussed to close this item,action point
Can you take this as an action point point,action point
Can you please explain on the board,action point
I am going to finish this by EOD today,action point
I just have 5 min ,ignore
I need to join another call in 15 min,ignore
What I want to see if clear plan of action point,decision
I need a demo on this ,action point
How much time is it going to take,key point
Are we good with this,key point
You are right Mark,ignore
I think we need to do a PoC on this,action point
Is there any major challenge you see in this,decision
That is what we are saying,key point
Are we talking about competency gap here,decision
Just to summarize this,decision
Can you send a detailed mail around this,action point
We need more resources,decision
We onboarded Suneel for the role of DBA,decision
Vendors have been finalized for this,decision
The Design document has been approved,decision
We plan to finish the development in decision weeks,decision
We plan to finish the design in decision days,decision
Let\'s finish the design in 5 days,decision
This is not good,key point
The feedback is good for the design,key point
Can you name the roadblocks,key point
If you are not confident lets not do it,decision
We will strike off the item action point here,key point
Lets discuss this for 5 min and resolve this issue,key point
I am not interested in Prototype,decision
The purpose of the meeting is not clear,decision
Is it a holiday in India on 15th Aug,ignore
It does not make sense to wait,ignore
The code is failing for the second test case,key point
I am cancelling this meeting,key point
Let\'s close the call,ignore
Ravi to take David\'s task for this week,decision
What is the time in Australia currently,ignore
action point item 1 is not relevant,ignore
Let\'s not do it,key point
everyone has arrived now  so Let us get started.,ignore
If we are all here  Let us start the meeting.,ignore
Now that everyone is here  shall we begin?,ignore
Shall we get down to business?,ignore
Well  since everyone is here  we should get started.,ignore
Okay  we have a lot to cover today  so we really should get started.,key point
Hello everyone. Thank you for coming today.,key point
Okay  Let us begin. Firstly  I had like to welcome you all.,key point
Thank you all for coming at such short notice.,key point
I really appreciate your attendance to this meeting.,ignore
For those of you who do not know me yet  I am …,key point
Please join me in welcoming …,key point
I had like to extend a warm welcome to …,key point
We are pleased to welcome …,key point
Firstly  I had like to introduce …,key point
For anyone who hasn’t met our new … yet  this is …,key point
It’s a pleasure for me to welcome …,key point
I had like to take a moment to introduce …,key point
I know most of you  but there are a few unfamiliar faces. I am …,key point
Sarma has kindly agreed to take the minutes today.,decision
Sarma will be presenting the …,decision
Sarma has kindly agreed to give us a report on …,decision
Sarma  would you mind taking notes / taking the minutes today please?,action point
Sarma will lead (topic) from the agenda.,key point
Sarma  would you like to kick off with …?,key point
Unfortunately  Margaret cannot join us today. She was called away on urgent business.,key point
Mark will be taking the minutes today  as Sarah is at home with a fever.,key point
I have received apologies for absence from …,ignore
If you notice anyone missing  please let Mark know so he can make a note of it.,ignore
We are here today to talk about …,ignore
We are here to discuss …,key point
Our main aim today is to …,decision
I’ve called this meeting today in order to …,key point
As you can see here on the agenda …,ignore
Firstly  we shall be talking about …,ignore
First of all  we shall discuss …,ignore
After that  we shall be looking at …,ignore
Followed by …,ignore
If time allows  we will also cover …,key point
Then  I will be handing it over to … for …,key point
Secondly  we shall look at …,ignore
Next  I will ask you for (feedback  comments  your opinion  your views  suggestions  ideas) on …,key point
And finally  we shall discuss …,key point
That’s a valid point but we will discuss that in more detail at a later date.,key point
Okay  Let us talk more about that later on.,key point
I am afraid we shall have to come back to this later.,key point
We were running short on time  so Let us move on to the next topic.,key point
We were running behind now  so Let us skip to the next point on the agenda.,key point
I am afraid we only have 10 minutes left  so Let us move on to….,ignore
we have spent too long on this issue now  Let us discuss it in more detail after this meeting.,key point
I think we shall have to leave that there for now and move on to….,key point
We were pushed for time  so Let us discuss….,key point
Let us try to stay on topic  that can be discussed another time.,ignore
You can discuss that amongst yourselves after the meeting.,ignore
This matter is not on today’s agenda  Let us leave it for next time.,key point
Let us save this for another meeting.,ignore
Getting back to the task at hand….,key point
I couldn’t agree with you more (I agree),decision
I completely agree with …,decision
Could I just say one thing please?,ignore
If I could just come in here …,ignore
