iter	RMSE
0	4221110.848
1	3610941.325
2	3129785.548
3	2724338.808
4	2384509.085
5	2112589.001
6	1901863.518
7	1716372.075
8	1560257.877
9	1436748.453
10	1299700.338
11	1180991.358
12	1076896.339
13	992263.4422
14	910082.4285
15	829928.2709
16	765282.1348
17	732918.1188
18	690652.0468
19	648294.5118
20	595803.0022
21	556717.6783
22	521219.1859
23	469757.7874
24	451947.5875
25	416748.8431
26	401235.308
27	379393.739
28	336625.8409
29	323603.8489
30	308350.9116
31	276669.9486
32	262105.3326
33	237376.2954
34	228541.1043
35	219963.1708
36	203046.2428
37	186619.5267
38	180362.0471
39	175004.9038
40	157831.0065
41	149787.254
42	138414.6223
43	131124.2182
44	124914.8525
45	119859.7455
46	110396.0082
47	102079.5082
48	98146.47634
49	90353.93895
