,price,place,built,sqft,sale,yearsOld,floor,totalFloor,bhk
1341,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2126,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
816,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2708,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1041,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2783,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
703,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
88,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1973,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
256,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1831,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
464,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1102,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
902,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2139,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
162,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
95,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
830,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
581,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1120,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2559,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
329,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1783,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2202,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1073,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2005,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2649,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
747,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
142,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2677,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1258,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
495,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1888,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
474,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1526,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
972,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1033,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1998,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2167,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2601,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1379,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2221,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
723,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
234,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1268,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2426,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2555,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1491,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
992,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1979,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
26,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1622,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2889,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1832,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
868,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1193,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1646,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
930,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
410,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2432,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
907,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1271,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
442,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1393,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2340,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1648,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1588,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2330,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2365,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1488,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
36,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
176,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1005,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
959,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2346,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1398,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1100,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2578,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1347,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1202,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1642,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
367,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1849,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
975,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2218,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2472,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
138,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
118,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
945,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1457,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2188,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1152,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1354,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2660,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
326,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
509,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2502,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
345,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2759,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2634,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1501,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
959,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1253,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
933,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
516,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
